,0,1
0,-247.3583035845968,-165.32008361816406
1,-205.43840246929057,-197.7622833251953
2,-148.18771093035593,-222.50729370117188
3,-283.93339768984197,-224.24285888671875
4,-190.1343317462605,-233.74444580078125
5,-270.74188222532587,-238.32933044433594
6,-273.6381266343466,-252.221435546875
7,-262.00983430775483,-266.080810546875
8,-189.44670091738016,-279.2105712890625
9,-204.45529926579292,-288.1183166503906
10,-203.38672408692145,-269.1311340332031
11,-224.7535294597422,-260.650634765625
12,-280.35571608495076,-249.27809143066406
13,-275.50533593120974,-237.79315185546875
14,-196.59839531432524,-238.42257690429688
15,-259.7103081177099,-220.32186889648438
16,-213.27738119396972,-211.90826416015625
17,-204.11681296142464,-212.84127807617188
18,-257.0379790864698,-202.9302215576172
19,-226.20426138806883,-204.76268005371094
20,-277.83788115940644,-201.89527893066406
21,-236.37413779727507,-208.06813049316406
22,-249.2381857553205,-216.80233764648438
23,-251.0386765950832,-228.8105926513672
24,-226.66392537928996,-233.06552124023438
25,-220.61523418395058,-244.0618438720703
26,-220.86594196244232,-249.66650390625
27,-250.51829987170368,-248.7671356201172
28,-201.07576077634863,-250.29115295410156
29,-218.59234697415232,-231.5595245361328
30,-304.6180173157817,-216.67230224609375
31,-256.0519136557979,-231.91162109375
32,-160.0153255866533,-250.99551391601562
33,-226.2416090527003,-238.9683074951172
34,-236.27709313554448,-221.22793579101562
35,-223.161600728098,-236.8898468017578
36,-225.11387869417217,-228.36044311523438
37,-228.86521996720938,-223.86874389648438
38,-224.87478846915997,-230.973876953125
39,-234.13780779546772,-228.22325134277344
40,-204.54977099506993,-234.77752685546875
41,-205.43346342640262,-227.84239196777344
42,-227.5705267767581,-225.0182342529297
43,-247.72595899026464,-218.6741943359375
44,-217.30399634677127,-223.5961151123047
45,-214.99235823678654,-223.2154998779297
46,-178.500074208392,-213.23841857910156
47,-265.5646028285017,-203.23597717285156
48,-238.1103998035681,-211.73777770996094
49,-295.7554017190149,-210.62681579589844
50,-240.6160078555592,-228.06349182128906
51,-220.60230312699233,-247.28179931640625
52,-252.62467027484314,-248.63848876953125
53,-219.9223291445052,-265.70684814453125
54,-221.80321356936284,-269.6397399902344
55,-295.8504528670135,-257.171875
56,-305.1024371630644,-258.46551513671875
57,-239.35946307084038,-279.81121826171875
58,-282.5054636492961,-277.1533508300781
59,-181.08263072621577,-285.25982666015625
60,-214.69228332268955,-280.3044738769531
61,-216.50478415425292,-263.5954895019531
62,-178.5147804111121,-264.5679931640625
63,-293.8874607809571,-226.91526794433594
64,-211.57414534569776,-241.5027618408203
65,-281.27641395547664,-216.592041015625
66,-269.35993179977356,-218.54953002929688
67,-226.55712350453933,-220.28109741210938
68,-278.5450221626958,-224.154296875
69,-196.0664977947893,-237.4333038330078
70,-279.3202895006484,-228.07437133789062
71,-257.94533379099573,-233.62132263183594
72,-197.9797555054395,-249.21255493164062
73,-263.3332995169059,-238.16038513183594
74,-322.5283956161313,-232.30458068847656
75,-268.7402249046162,-242.98451232910156
76,-234.90738277202064,-257.59808349609375
77,-190.45504856002063,-252.6790313720703
78,-249.72057421907152,-246.6453857421875
79,-255.27128315350964,-251.88218688964844
80,-286.4333407777449,-240.4914093017578
81,-210.77723769184632,-259.9986267089844
82,-312.4758713930077,-256.5487976074219
83,-245.24720277644354,-252.81549072265625
84,-257.4255079525148,-246.45718383789062
85,-224.6778652841711,-259.008544921875
86,-263.7306838869056,-237.86932373046875
87,-218.46744781019774,-245.56744384765625
88,-228.98846332690647,-234.14964294433594
89,-207.07901353901826,-232.28128051757812
90,-235.34338446827252,-232.20640563964844
91,-234.00030926328608,-240.8120880126953
92,-231.49842445100603,-239.56846618652344
93,-227.88332610966737,-234.77044677734375
94,-252.81431659202389,-233.94476318359375
95,-243.56113181645327,-237.25
96,-216.88227638067937,-245.27825927734375
97,-235.90022616027395,-242.4312744140625
98,-249.8853961044641,-251.38052368164062
99,-174.6578613438507,-250.31455993652344
100,-228.51924842297996,-256.60247802734375
101,-241.59835634023594,-244.47137451171875
102,-194.14572774616073,-244.18724060058594
103,-255.51277154028895,-225.6317138671875
104,-230.72608347726856,-221.37646484375
105,-291.80705486483447,-220.34927368164062
106,-200.37061970703107,-220.15716552734375
107,-276.98676727722983,-226.83856201171875
108,-276.47966193408695,-220.63888549804688
109,-216.6073106075467,-256.9645690917969
110,-214.13273290273887,-257.5475769042969
111,-215.95385345887067,-261.5702819824219
112,-222.2689810875334,-257.7953796386719
113,-241.20087048087407,-253.880126953125
114,-223.6874173357739,-261.3435974121094
115,-187.32910258982537,-256.40960693359375
116,-241.92190298875053,-234.93724060058594
117,-228.5082120741782,-229.95635986328125
118,-223.88135924669913,-216.396728515625
119,-211.11824304208375,-208.5699462890625
120,-210.62701074493916,-218.46826171875
121,-199.42462769738194,-219.85971069335938
122,-206.61478676568473,-202.98190307617188
123,-256.9701311962433,-198.49864196777344
124,-210.3919489929057,-214.51942443847656
125,-209.34552661825055,-202.98609924316406
126,-264.87241764117135,-223.93955993652344
127,-270.63341832984213,-232.1465606689453
128,-248.9095582090422,-242.24241638183594
129,-214.01834473636958,-265.0944519042969
130,-304.97150231247474,-252.17929077148438
131,-326.13780507719304,-266.0815734863281
132,-237.68685510185998,-272.19537353515625
133,-270.9881971126034,-272.2685546875
134,-209.15598203996814,-290.3988952636719
135,-268.2715743794521,-269.0929870605469
136,-206.04494302397362,-279.7944030761719
137,-203.36363929499083,-269.38543701171875
138,-229.6975442814291,-244.62684631347656
139,-255.7725165628023,-230.80722045898438
140,-303.44106010374367,-209.47637939453125
141,-231.28027596816364,-221.9921875
142,-194.85832088460296,-217.43966674804688
143,-204.77793418971368,-210.99913024902344
144,-177.43763414211432,-222.96861267089844
145,-176.70206608806018,-218.7815399169922
146,-243.17811367576164,-198.5143280029297
147,-208.268706793969,-209.91375732421875
148,-267.0822782481017,-196.24114990234375
149,-280.82030848026716,-199.42625427246094
150,-225.11358425925656,-222.37057495117188
151,-257.01295653382414,-228.16587829589844
152,-307.1662262899059,-246.6064910888672
153,-206.01652378265317,-274.6810607910156
154,-231.9051889366924,-269.690673828125
155,-191.56544304643631,-284.75616455078125
156,-284.6046692894071,-272.59881591796875
157,-231.0249687789767,-271.0841369628906
158,-208.59827045104385,-273.54901123046875
159,-240.85365837694917,-257.9363098144531
160,-240.10749993341074,-242.2362518310547
161,-240.1552147133471,-246.7964324951172
162,-322.10183442686616,-219.8548126220703
163,-272.36242115577033,-241.7930145263672
164,-248.59657089522779,-236.30955505371094
165,-256.9128656698743,-239.29244995117188
166,-242.13394722917036,-251.31390380859375
167,-297.8815022003549,-242.8026580810547
168,-213.3773218442111,-268.0740966796875
