,0,1
0,-289.91344345115,-11.670415878295898
1,-266.9009482049431,-23.302934646606445
2,-283.33161088569466,-31.199716567993164
3,-292.0661364903448,-42.840904235839844
4,-284.3470876115973,-51.911216735839844
5,-284.48481952180816,-60.830501556396484
6,-276.1731562202373,-71.93413543701172
7,-258.6838325925967,-81.32727813720703
8,-269.7396000109346,-93.29745483398438
9,-285.7292335308228,-101.59020233154297
10,-286.78595862529863,-110.43280029296875
11,-285.85051258334795,-118.60244750976562
12,-281.9349907688471,-129.46231079101562
13,-277.77048098616314,-139.13951110839844
14,-291.8077265918116,-145.4061279296875
15,-258.23139891923597,-154.99742126464844
16,-276.1783483796565,-163.4732666015625
17,-275.3634110699078,-169.04727172851562
18,-294.31677253116897,-180.19456481933594
19,-267.26423114375655,-182.1810302734375
20,-281.0175848173099,-192.7410125732422
21,-263.21669833623866,-197.7837677001953
22,-278.9951757940848,-210.78457641601562
23,-279.1805661709127,-209.17147827148438
24,-277.04356800380384,-218.48690795898438
25,-302.19799577583944,-231.33932495117188
26,-294.7377374456246,-227.46054077148438
27,-278.4707321891557,-228.9053192138672
28,-280.18365139688524,-235.9683380126953
29,-276.2130360651764,-238.22357177734375
30,-276.8473506625297,-245.18344116210938
31,-273.3005327365312,-245.2803192138672
32,-275.9947459134638,-252.635986328125
33,-274.4908316153743,-256.8649597167969
34,-282.6006046246242,-269.6712646484375
35,-292.1390243517947,-269.3403015136719
36,-283.1800214511821,-265.4563903808594
37,-262.73940787695835,-255.01364135742188
38,-284.80820030077274,-273.40740966796875
39,-282.06320054342837,-275.17584228515625
40,-285.82527138328567,-295.3521728515625
41,-278.7016957580523,-272.9769592285156
42,-266.0163920949958,-270.6134948730469
43,-278.07782875250257,-279.7795715332031
44,-276.9895289311081,-278.5459899902344
45,-274.1066535195279,-277.28106689453125
46,-261.0513109383563,-266.7728576660156
47,-284.2745695927306,-274.9848327636719
48,-289.2535731462158,-305.01806640625
49,-274.9752017756521,-262.53936767578125
50,-292.3005613715135,-281.9556884765625
51,-272.23359233713006,-258.2972412109375
52,-275.1995267027767,-284.77069091796875
53,-283.46663984968694,-301.1860046386719
54,-297.58257303343896,-294.11761474609375
55,-270.51025214613315,-292.3008728027344
56,-277.8686409756021,-271.4756164550781
57,-276.21966635719747,-287.61138916015625
58,-298.4511578352141,-282.6116027832031
59,-285.59832587054836,-300.96429443359375
60,-284.1444968488105,-297.8170471191406
61,-287.0591273820738,-268.21759033203125
62,-275.4865896395181,-284.7235412597656
63,-313.2091118512947,-300.7417297363281
64,-284.10540736986223,-275.1854553222656
65,-292.77057359492767,-291.76507568359375
66,-284.2349307682467,-287.5065002441406
67,-276.54684674869293,-281.0439453125
68,-262.2273678201432,-259.64007568359375
69,-291.96309201805065,-280.7250671386719
70,-278.7477602677891,-292.63018798828125
71,-288.15967934599473,-287.95172119140625
72,-277.010753609762,-267.1832275390625
73,-280.2439617933114,-264.21014404296875
74,-281.8102411299199,-284.8768310546875
75,-274.86640714164406,-283.6380920410156
76,-278.5880008157986,-290.9209899902344
77,-291.3356908185568,-323.1932678222656
78,-292.2567280162831,-278.00018310546875
79,-282.7408094216861,-281.1138916015625
80,-287.7017251966406,-280.1669006347656
81,-289.7376968755725,-300.7373046875
82,-279.73501198813767,-290.28082275390625
83,-267.7495243411448,-248.40362548828125
84,-286.419976661474,-272.35992431640625
85,-263.70784564648807,-276.8851013183594
86,-282.26448496904516,-293.38946533203125
87,-300.6166364603451,-291.9828186035156
88,-284.92142214448853,-282.0659484863281
