,0,1
71,-1786.5338991403064,-1729.9703369140625
72,-1824.0719102499206,-1716.5833740234375
73,-1741.9227440003742,-1753.47998046875
74,-1630.1283383763325,-1812.9498291015625
75,-1766.8267061972515,-1769.025634765625
76,-1778.0761350574194,-1748.8829345703125
77,-1742.009756147955,-1791.049560546875
78,-1803.2884822691435,-1720.230224609375
79,-1701.7967013021232,-1779.4454345703125
80,-1634.0239484878023,-1726.635498046875
81,-1802.8064385247067,-1707.0308837890625
82,-1696.7416160637276,-1782.3193359375
83,-1746.3554453488389,-1856.54443359375
84,-1778.0111005852373,-1720.7655029296875
85,-1774.0679179737635,-1700.54052734375
86,-1631.8374567335766,-1815.3974609375
87,-1730.5244277142046,-1719.7669677734375
88,-1834.157372894506,-1720.9808349609375
89,-1642.07452793147,-1767.18896484375
90,-1741.230800036999,-1741.9156494140625
91,-1670.2402120515694,-1777.6962890625
92,-1760.4444775607742,-1736.763427734375
93,-1695.8601021516934,-1792.157470703125
94,-1692.119397489259,-1743.634521484375
95,-1670.0390629863118,-1734.3099365234375
96,-1781.6086390072317,-1735.513916015625
97,-1683.4278256164641,-1769.2340087890625
98,-1697.5313068785395,-1712.036865234375
99,-1723.754593468731,-1743.6131591796875
100,-1743.1788077093515,-1677.08837890625
101,-1789.6007540138714,-1708.7113037109375
102,-1835.2821455883736,-1703.43994140625
103,-1792.7364163755326,-1719.58837890625
104,-1822.660299029537,-1700.5614013671875
105,-1672.5417520280257,-1728.26416015625
106,-1816.1402078040096,-1737.1715087890625
107,-1740.856975311508,-1782.4739990234375
108,-1717.258263905021,-1842.08935546875
109,-1643.9838388932155,-1834.728515625
110,-1835.0501381116842,-1749.72705078125
111,-1794.631877977075,-1760.0762939453125
112,-1676.8040756267906,-1761.3358154296875
113,-1752.8886084418616,-1730.7509765625
114,-1742.1034995697214,-1799.1885986328125
115,-1757.851019338011,-1751.6424560546875
116,-1680.1513500370875,-1725.759033203125
117,-1687.5974073577345,-1736.511962890625
118,-1834.6928219224815,-1739.3968505859375
119,-1691.1567192260377,-1718.359130859375
120,-1815.773997482274,-1729.295654296875
121,-1760.7825945423094,-1725.20263671875
122,-1794.7614734891642,-1806.5684814453125
123,-1687.0769761959887,-1802.073974609375
124,-1657.7700536386874,-1726.6339111328125
125,-1845.1133177211057,-1710.168701171875
126,-1773.1402509893862,-1698.49853515625
127,-1690.1035929262296,-1751.6214599609375
128,-1710.4028081741271,-1766.1654052734375
129,-1732.4028389201314,-1784.1656494140625
130,-1767.044923874088,-1764.5721435546875
131,-1846.9605374542455,-1720.8289794921875
132,-1732.600340361488,-1732.251708984375
133,-1618.2118554415051,-1765.3699951171875
134,-1696.6392585648464,-1721.6923828125
135,-1727.2845950599828,-1684.530029296875
136,-1792.7938727557907,-1685.73193359375
137,-1745.2060673479464,-1688.57421875
138,-1780.4186308540957,-1696.7103271484375
139,-1684.2806940964688,-1731.3199462890625
140,-1712.280833319055,-1721.42138671875
141,-1595.0549731078515,-1739.410888671875
